name,constituency,session
Abdülgafur Efendi ,Karesi (Balıkesir),1
Abdülgani Ensari,Siverek,1
Abdülgani Ertan,Muş,1
Abdülhak Adnan Adıvar,İstanbul,1
Abdülhak Tevfik Gençtürk,Dersim (Tunceli),1
Abdülhalim Çelebi,Konya,1
Abdulhamit Çintan,Diyarbekir,1
Abdulkadir Kadri Kürkcü,Diyarbekir,1
Abdülkadir Kemali Öğütçü,Kastamonu,1
Abdullah Azmi Torun,Eskişehir,1
Abdullah Efendi,Malatya,1
Abdullah Faik Çopuroğlu,Adana,1
Abdullah Karabina,Sinop,1
Abdullah Lami Ersoy,Ayıntab (Antep),1
Abdullah Sabri Aytaç,Bolu,1
Abdullah Servet Akdağ,Bursa,1
Abdurrahman Dursun Yalvaç,Çorum,1
Ahmet Akif Suner,Batum,1
Ahmet Baydar,Bozok (Yozgat),1
Ahmet Besim Atalay,Kütahya,1
Ahmet Cemalettin Çelebi,Kırşehir,1
Ahmet Ferit Tek,İstanbul,1
Ahmet Fevzi Erdem,Batum,1
Ahmet Hakkı Sütekin,Niğde,1
Ahmet Hamdi Apaydın,Amasya,1
Ahmet Hamdi Dumrul,Biga,1
Ahmet Hamdi Ülkümen,Trabzon,1
Ahmet Hamdi Yalman,Canik (Samsun),1
Ahmet Hilmi Kalaç,Kayseri,1
Ahmet Lakşe,Ertuğrul (Bilecik),1
Ahmet Mazhar Akifoğlu,İstanbul,1
Ahmet Müfit Kurutluoğlu,Kırşehir,1
Ahmet Muhtar Mollaoğlu,İstanbul,1
Ahmet Nafiz Özalp,Canik (Samsun),1
Ahmet Nebil Yurter,Karahisar-ı Sahib (Afyonkarahisar),1
Ahmet Nüzhet Saraçoğlu,Ergani,1
Ahmet Ramiz Tan,Dersim (Tunceli),1
Ahmet Remzi Akgöztürk,Kayseri,1
Ahmet Rifat Çalık,Kayseri,1
Ahmet Rüstem Bilinski,Ankara,1
Ahmet Rüştü Çolakoğlu,Kastamonu,1
Ahmet Şükrü Oğuz,İstanbul,1
Ahmet Şükrü Yavuzyılmaz,Aydın,1
Ali Cenani,Ayıntab (Antep),1
Ali Çetinkaya,Karahisar-ı Sahib (Afyonkarahisar),1
Ali Cevdet Seçkin,Kırşehir,1
Ali Enver Tekand,İzmir,1
Ali Fethi Okyar,İstanbul,1
Ali Fuat Cebesoy,Ankara,1
Ali Haydar Bey,Genç,1
Ali Kılıç,Ayıntab (Antep),1
Ali Rıza Acara,Batum,1
Ali Rıza Ataışık,İçel (Silifke),1
Ali Rıza Ataman,Kars,1
Ali Rıza Bebek,İstanbul,1
Ali Rıza Özdarende,Amasya,1
Ali Rıza Topçu,Amasya,1
Ali Saip Ursavaş,Urfa,1
Ali Şefik,Ergani,1
Ali Sırrı Özata,Ergani,1
Ali Şükrü,Trabzon,1
Ali Sururi Tönük,Karahisar-ı Şarki (Şebinkarahisar),1
Ali Ulvi Bey,Burdur,1
Ali Vasıf Telli,Genç,1
Ali Vefa Seyhanlı,Antalya,1
Alirızapaşazade Ziya Bey,Menteşe (Muğla),1
Arif Baysal,Konya,1
Arif Marlalı,İstanbul,1
Arif Özdemir,Bitlis,1
Arslan Toğuzata,Maraş,1
Asım Möhördaroğlu,Erzurum,1
Asım Sirel,Amasya,1
Ata Atalay,Niğde,1
Bacanakzade Ziya,Sivas,1
Behçet Kutlu,Kangırı (Çankırı),1
Bekir Kocaoğlu,Kırşehir,1
Bekir Sami Kunduh,Amasya,1
Bekir Sıtkı Ocak,Siverek,1
Bozan Bey,Urfa,1
Cafer Tayyar Eğilmez,Edirne,1
Cami Baykurt,Aydın,1
Cavit Erdel,Kars,1
Celâl Bayar,Saruhan (Manisa),1
Celal Nuri İleri,Gelibolu,1
Celalettin Arif,Erzurum,1
Celalettin Aykar,Trabzon,1
Cemal Mersinli,Isparta,1
Cemil Altay,Kütahya,1
Cevat Abbas Gürer,Bolu,1
Cevdet Barlas,Kütahya,1
Çilzade Fahreddin,Burdur,1
Çölemerikli Ömer Efendi,Hakkâri,1
Damar Arıkoğlu,Adana,1
Derviş Sevünç,Bitlis,1
Derviş Ural,Mardin,1
Diyap Yıldırım,Dersim (Tunceli),1
Dr. Atıf Bey,Çorum,1
Edip Dinç,Batum,1
Emin Efendi,Mersin,1
Emin Erkul,Bursa,1
Emin Gevecioğlu,Canik (Samsun),1
Emin Kamil Efendi,Menteşe (Muğla),1
Emin Sazak,Eskişehir,1
Emir Girdivan,Van,1
Emir Marşan,Sivas,1
Esat Bey,Urfa,1
Esat Önen,Mardin,1
Esat Özoğuz,Lazistan (Rize),1
Eşref Akman,Adana,1
Ethem Fehmi Arslanlı,Menteşe (Muğla),1
Eyüp Sabri Akgöl,Eskişehir,1
Fahrettin Altay,Mersin,1
Fahrettin Erdoğan,Kars,1
Faik Aybay,Trabzon,1
Faik Kaltakkıran,Edirne,1
Faik Öztrak,Cebel-i Bereket (Osmaniye),1
Fevzi Çakmak,Kozan,1
Feyyaz Ali Üst,Bozok (Yozgat),1
Feyzi Pirinççioğlu,Diyarbekir,1
Fikret Onuralp,Kozan,1
Fikri Ergün,Genç,1
Fikri Faik Güngören,Genç,1
Filibeli Hilmi,Ardahan,1
Fuat Tek,Çorum,1
Fuat Umay,Bolu,1
Gülekzade Tevfik,Adana,1
Güranizade Memduh,Ergani,1
Hacı Abdülvahap Efendi,Bolu,1
Hacı Ahmet Efendi,Menteşe (Muğla),1
Hacı Ahmet Hamdi Bilgin,Muş,1
Hacı Ali Efendi,İçel (Silifke),1
Hacı Bedir Fırat,Malatya,1
Hacı Bekir Sümer,Konya,1
Hacı Feyzi Bey,Elaziz (Elazığ),1
Hacı Garip Taner,Malatya,1
Hacı Hüseyin Efendi,Denizli,1
Hacı Mehmet Önay,Bayazıt (Doğubeyazıt),1
Hacı Mustafa Beynamlı,Ankara,1
Hacı Mustafa Efendi,Malatya,1
Hacı Mustafa Sabri Baysan,Siirt,1
Hacı Mustafa,Urfa,1
Hacı Şükrü Aydındağ,Diyarbekir,1
Hacı Süleyman Efendi,İzmir,1
Hacı Tevfik Efendi,Kangırı (Çankırı),1
Hacim Muhittin Çarıklı,Karesi (Balıkesir),1
Hafız Abdullah Tezemir,İzmit (Kocaeli),1
Hafız İbrahim Demiralay,Isparta,1
Hafız Mehmet Engin,Trabzon,1
Hafız Mehmet Şahin,Ayıntab (Antep),1
Hahutzade Ahmet Nuri Efendi,Batum,1
Hakkı Behiç Bayiç,Denizli,1
Hakkı Hami Ulukan,Sinop,1
Hakkı Ungan,Van,1
Halil Hilmi Bozca,Karahisar-ı Sahib (Afyonkarahisar),1
Halil Hulki Ayrım,Siirt,1
Halil Hulusi Efendi,Burdur,1
Halil İbrahim Gürsoy,İzmit (Kocaeli),1
Halil İbrahim Nakıpoğlu,Konya,1
Halil İbrahim Özkaya,Antalya,1
Halil İbrahim Sipahioğlu,Eskişehir,1
Halil Işık,Ertuğrul (Bilecik),1
Hamdi Aksoy,Ertuğrul (Bilecik),1
Hamdi Hamit Karaosmanoğlu,Biga,1
Hamdi Namık Gör,İzmit (Kocaeli),1
Hamdi Yılmaz,Genç,1
Hamdullah Suphi Tanrıöver,Antalya,1
Hamit Kapancı,Trabzon,1
Hamza Hayati Öztürk,Menteşe (Muğla),1
Hasan Basri Çantay,Karesi (Balıkesir),1
Hasan Fehmi Ataç,Gümüşhane,1
Hasan Fehmi Çoldurzade,Canik (Samsun),1
Hasan Fehmi Kolay,Bursa,1
Hasan Hayri Kanko,Dersim (Tunceli),1
Hasan Saka,Trabzon,1
Hasan Sıddık Haydari,Van,1
Hasan Tahsin Alagöz,Malatya,1
Hasan Tahsin Artıkı,Mardin,1
Hasan Tahsin Berk,Elaziz (Elazığ),1
Hasan Tahsin San,Aydın,1
Hasan Tahsin Sürenkök,Antalya,1
Hasan Tahsin Uzer,İzmir,1
Hasan Tokcan,Denizli,1
Haşim Apaydın,Çorum,1
Hasip Aksöyök,Maraş,1
Haydar Arslan,İçel (Silifke),1
Haydar Bey,Kütahya,1
Haydar Bey,Van,1
Hoca Fehmi Efendi,Tokat,1
Hulusi Göksu,Konya,1
Hulusi Kutluoğlu,Karahisar-ı Sahib (Afyonkarahisar),1
Hüseyin Aksu,Erzincan,1
Hüseyin Avni Ulaş,Erzurum,1
Hüseyin Avni Zaimler,Saruhan (Manisa),1
Hüseyin Çelik,Kozan,1
Hüseyin Ferit Törümküney,Çorum,1
Hüseyin Gökçelik,Elaziz (Elazığ),1
Hüseyin Hüsnü Işık,İstanbul,1
Hüseyin Hüsnü Konay,Mersin,1
Hüseyin Hüsnü Orakçıoğlu,Bitlis,1
Hüseyin Hüsnü Özdamar,Isparta,1
Hüseyin Rauf Orbay,Sivas,1
Hüseyin Selâhattin Köseoğlu,Mersin,1
Hüseyin Sırrı Bellioğlu,İzmit (Kocaeli),1
Hüseyin Sıtkı Gür,Malatya,1
Hüsrev Gerede,Trabzon,1
Hüsrev Sami Kızıldoğan,Eskişehir,1
İbrahim Ağa,Maraş,1
İbrahim Arvas,Hakkâri,1
İbrahim Bey,Adana,1
İbrahim Cevdet Yörük,Karesi (Balıkesir),1
İbrahim Hakkı Akgün,Ergani,1
İbrahim Ruşen Oktar,Gümüşhane,1
İbrahim Şevki Tüzün,Lazistan (Rize),1
İbrahim Süreyya Yiğit,Saruhan (Manisa),1
İbrahim Turhan,Mardin,1
İhsan Eryavuz,Cebel-i Bereket (Osmaniye),1
İhsan Sağlam,Siverek,1
İlyas Sami Muş,Muş,1
İsmail Fazıl Paşa,Bozok (Yozgat),1
İsmail Hakkı Çallı,Saruhan (Manisa),1
İsmail Naim Sanıvar,Erzurum,1
İsmail Remzi Berkün,Isparta,1
İsmail Safa Özler,Mersin,1
İsmail Şükrü Çelikalay,Karahisar-ı Sahib (Afyonkarahisar),1
İsmail Suphi Soysallıoğlu,Burdur,1
İsmet Efendi,Malatya,1
İsmet Eker,Çorum,1
İsmet İnönü,Edirne,1
İzzet Eyyüboğlu,Trabzon,1
İzzet Genca,Tokat,1
Kadri Bey,Ergani,1
Kadri Oktay,Siirt,1
Kamil Miras,Van,1
Kasım Nuri Bey,Menteşe (Muğla),1
Kâzim Bey ,Ergani,1
Kazım Dede,Muş,1
Kâzım Karabekir,Edirne,1
Kâzım Özalp,Karesi (Balıkesir),1
Köstenceli Numan Usta,İstanbul,1
Lütfü Evliyaoğlu,Malatya,1
Mahmud Said Yetgin,Muş,1
Mahmut Esat Bozkurt,İzmir,1
Mahmut Hendek,Menteşe (Muğla),1
Mahmut Sığnak,Ergani,1
Mazhar Germen,Aydın,1
Mazhar Müfit Kansu,Hakkâri,1
Mehmet Âkif Ersoy,Burdur,1
Mehmet Ali Efendi,Malatya,1
Mehmet Alim Çınar,Kayseri,1
Mehmet Atıf Bayazıt,Bayazıt (Doğubeyazıt),1
Mehmet Atıf Tüzün,Kayseri,1
Mehmet Besim Fazlıoğlu,Kastamonu,1
Mehmet Celal Saraçoğlu,Genç,1
Mehmet Dinç,Biga,1
Mehmet Emin Erkut,Aydın,1
Mehmet Emin Giray,Ergani,1
Mehmet Emin Lekili,Erzincan,1
Mehmet Erten,Maraş,1
Mehmet Esat İleri,Aydın,1
Mehmet Fuat Carım,İzmit (Kocaeli),1
Mehmet Hamdi İzgi,Adana,1
Mehmet Hulusi Akyol,Bozok (Yozgat),1
Mehmet Hulusi Erdemir,Kastamonu,1
Mehmet Kadri Üçok,Diyarbekir,1
Mehmet Murat Pala,Kastamonu,1
Mehmet Naci Karaali,Elaziz (Elazığ),1
Mehmet Nadir Süldür,Isparta,1
Mehmet Necati Memişoğlu,Lazistan (Rize),1
Mehmet Necip Güven,Mardin,1
Mehmet Neşet Özercan,İstanbul,1
Mehmet Niyazi Çamoğlu,Eskişehir,1
Mehmet Nusret Sun,Erzurum,1
Mehmet Ragıp Topala,Amasya,1
Mehmet Rauf Bey,Siverek,1
Mehmet Recai Baykal,Trabzon,1
Mehmet Rifat Arkun,Tokat,1
Mehmet Rifat Börekçi,Menteşe (Muğla),1
Mehmet Salih Yeşiloğlu,Erzurum,1
Mehmet Sami Arkan,İçel (Silifke),1
Mehmet Şerafettin Aykut,Edirne,1
Mehmet Şevket Peker,Sinop,1
Mehmet Sırrı Tayanç,Siverek,1
Mehmet Şükrü Fırat,Canik (Samsun),1
Mehmet Şükrü Gülez,Bolu,1
Mehmet Şükrü Keskin,Tokat,1
Mehmet Şükrü Koç,Karahisar-ı Sahib (Afyonkarahisar),1
Mehmet Şükrü Üçüncü,Gümüşhane,1
Mehmet Tahir Kucur,Isparta,1
Mehmet Tahsin Hüdayioğlu,Maraş,1
Mehmet Tevfik Kütükbaşı,Erzincan,1
Mehmet Vasfi Seçer,Karahisar-ı Şarki (Şebinkarahisar),1
Mehmet Vehbi Bolak,Karesi (Balıkesir),1
Mehmet Vehbi Çelik,Konya,1
Mehmet Yasin Sani Kutluğ,Ayıntab (Antep),1
Mehmet Zülfü Tigrel,Diyarbekir,1
Memduh Necdet Erberk,Karahisar-ı Şarki (Şebinkarahisar),1
Mesut Benli,Karahisar-ı Şarki (Şebinkarahisar),1
Mesut Efendi,Menteşe (Muğla),1
Mithat Milli,Mardin,1
Muhittin Baha Pars,Bursa,1
Muhittin Çöteli,Elaziz (Elazığ),1
Muhtar Fikri Güçüm,Mersin,1
Musa Kazım Onar,Konya,1
Mustafa Ağa,Dersim (Tunceli),1
Mustafa Akif Tütenk,Diyarbekir,1
Mustafa Bengisu,İzmir,1
Mustafa Cantekin,Kozan,1
Mustafa Darman,Gümüşhane,1
Mustafa Durak Sakarya,Erzurum,1
Mustafa Ebrişimoğlu,Antalya,1
Mustafa Fehmi Gerçeker,Bursa,1
Mustafa Fevzi Bilgili,Malatya,1
Mustafa Hayri San,Sivas,1
Mustafa Hilmi Çayırlıoğlu,Ankara,1
Mustafa Hilmi Soydan,Niğde,1
Mustafa Hulusi Çalgüner,Karahisar-ı Sahib (Afyonkarahisar),1
Mustafa Kemal Atatürk,Ankara,1
Mustafa Kemal Güney,Ertuğrul (Bilecik),1
Mustafa Lütfi Azer,Siverek,1
Mustafa Necati Uğural,Saruhan (Manisa),1
Mustafa Sabri Süsoy,Tokat,1
Mustafa Serdaroğlu,Karahisar-ı Şarki (Şebinkarahisar),1
Mustafa Soylu,Niğde,1
Mustafa Şükrü Bey,Elaziz (Elazığ),1
Mustafa Taki Doğruyol,Sivas,1
Mustafa Tavaslıoğlu,Denizli,1
Mustafa Zeki Saltık,Dersim (Tunceli),1
Müştak Torbo,Kangırı (Çankırı),1
Mütevellizade Hamdi,Tokat,1
Naim Ulusal,İçel (Silifke),1
Nazım Resmor,Tokat,1
Necati Kurtuluş,Bursa,1
Necip Buldanlıoğlu,Denizli,1
Necip Soydan,Ertuğrul (Bilecik),1
Necmettin Bilgin,Siirt,1
Neşet Akkor,Kangırı (Çankırı),1
Nuri Aksu,Bolu,1
Nuri Bayam,Siirt,1
Ömer Lütfi Argeşo,Karahisar-ı Sahib (Afyonkarahisar),1
Ömer Lütfi Yasan,Amasya,1
Ömer Mümtaz Tambi,Ankara,1
Ömer Ünlü,Saruhan (Manisa),1
Ömer Vehbi Büyükyalvaç,Konya,1
Osman Fevzi Topçu,Erzincan,1
Osman Kadri Bingöl,Muş,1
Osman Nuri Özgen,Lazistan (Rize),1
Osman Nuri Özpay,Bursa,1
Osman Server Atabek,Ardahan,1
Osman Uşşaklı,Kayseri,1
Ragıp Soysal,Kütahya,1
Ragıp Yoğun,Ayıntab (Antep),1
Rasih Kaplan,Antalya,1
Rasim Başara,Sivas,1
Rasim Celalettin Öztekin,Cebel-i Bereket (Osmaniye),1
Rasim Tekin,Elaziz (Elazığ),1
Refet Bele,İzmir,1
Refet Seçkin,Maraş,1
Refik Koraltan,Konya,1
Refik Saydam,Bayazıt (Doğubeyazıt),1
Refik Şevket İnce,Saruhan (Manisa),1
Reşit Ağar,Malatya,1
Reşit Bey,İzmir,1
Reşit Kayalı,Saruhan (Manisa),1
Reşit Kayalı,Saruhan (Manisa),1
Reşit Paşa,Kozan,1
Rıfat Saatçi,Konya,1
Rıza Ersoy,Bozok (Yozgat),1
Rıza Kotan,Muş,1
Rıza Nur,Sinop,1
Rıza Silsüpür,Kırşehir,1
Rıza Vamık Uras,Sinop,1
Rüstem Hamşioğlu,Oltu[16],1
Rüştü Bozkurt,Maraş,1
Rüştü Bulduk,Ergani,1
Sabit Gözügeçgel,Kayseri,1
Sabri Dura,Kastamonu,1
Sabri Nemlioğlu,Trabzon,1
Sadettin Özsan,Menteşe (Muğla),1
Sadık Savtekin,Kırşehir,1
Sadık Sultanoğlu,Aydın,1
Sadullah Fevzi Eren,Bitlis,1
Sait Üçok,Kangırı (Çankırı),1
Şakir Kınacı,Ankara,1
Salih Atalay,Siirt,1
Salih Efendi,Ergani,1
Salih Hayali Yaşar,Urfa,1
Selahattin Bey,İstanbul,1
Şemsettin Bayramoğlu,Ankara,1
Şerif Bey,Sinop,1
Şevket Beyazit,Bayazıt (Doğubeyazıt),1
Şevket Candaner,Burdur,1
Şevki Göklevent,İçel (Silifke),1
Seyfi Aydın,Kütahya,1
Şeyh Hacı Ahmed Fevzi Efendi,Erzincan,1
Şeyh Masum Efendi,Van,1
Seyyid Muslihittin Paşa,Hakkâri,1
Seyyid Taha Efendi,Hakkâri,1
Sıddık Mumcu,Çorum,1
Sofrasur Asizade Resul Bey,Bitlis,1
Suat Soyer,Kastamonu,1
Süleyman Boşank,Canik (Samsun),1
Süleyman Necati Güneri,Erzurum,1
Süleyman Sırrı İçöz,Bozok (Yozgat),1
Süleyman Sudi Acarbay,Bayazıt (Doğubeyazıt),1
Tahir Aşık Musuloğlu,Kangırı (Çankırı),1
Tahir Barlas,İzmit (Kocaeli),1
Taşpınarlı Hacı Atıf,Ankara,1
Tevfik Dimeroğlu,Van,1
Tevfik Rüştü Aras,Menteşe (Muğla),1
Tufan Ülker,Hakkâri,1
Tunalı Hilmi,Bolu,1
Vasıf Karakol,Sivas,1
Vehbi Çorakçı,Niğde,1
Vehbi Öztekin,Bitlis,1
Veli Saltıkgil,Burdur,1
Veliyullah Akbaşlı,Eskişehir,1
Veysel Rıza Zarbun,Gümüşhane,1
Yahya Galip Kargı,Kırşehir,1
Yakup Bozdağ,Maraş,1
Yasin Haşimoğlu,Oltu[16],1
Yunus Nadi Abalıoğlu,İzmir,1
Yusuf Bahri Tatlıoğlu,Bozok (Yozgat),1
Yusuf Başkaya,Denizli,1
Yusuf İzzet Met,Bolu,1
Yusuf Kemal Tengirşenk,Kastamonu,1
Yusuf Ziya Başara,Sivas,1
Yusuf Ziya Eraydın,Mersin,1
Yusuf Ziya İsfendiyaroğlu,Kangırı (Çankırı),1
Yusuf Ziya Koçoğlu,Bitlis,1
Zekai Apaydın,Adana,1
Zeynel Abidin Atak,Lazistan (Rize),1
Zeynel Abidin Bayhan,Niğde,1
Zihni Orhon,Erzurum,1
Ziya Hurşit,Lazistan (Rize),1
Ziya Tuğlu,Gümüşhane,1
Ziyaeddin Gözübüyük,Erzurum,1
Abdülgani Ensari,Mardin,2
Abdülhak Adnan Adıvar,İstanbul,2
Abdülhak Fırat,Erzincan,2
Abdülkadir Emirmahmutoğlu,Maraş,2
Abdulkadir Kadri Kürkcü,Siverek,2
Abdullah Azmi Torun,Eskişehir,2
Abdullah Hulusi Zarplı,Karesi (Balıkesir),2
Abdullah Okyay,Trabzon,2
Abdürrahman Rahmi Katoğlu,Sivas,2
Abdurrahman Şeref,İstanbul,2
Abdurrahman Şeref Uluğ,Diyarbekir,2
Abdürrezzak Şatana,Mardin,2
Abidin Bey,Saruhan (Manisa),2
Ahmed Mükerrem Karaağaç,Isparta,2
Ahmet Ağaoğlu,Kars,2
Ahmet Besim Atalay,Aksaray,2
Ahmet Besim Özek,Mersin,2
Ahmet Esat Uras,Amasya,2
Ahmet Faik Günday,Ordu,2
Ahmet Ferit Tek,Kütahya,2
Ahmet Fuat Bulca,Rize,2
Ahmet Hamdi Altıok,Bozok (Yozgat),2
Ahmet Hamdi Denizmen,İstanbul,2
Ahmet Hamdi Ülkümen,Trabzon,2
Ahmet Hamdi Yalman,Ordu,2
Ahmet Hilmi Kalaç,Kayseri,2
Ahmet İffet Mercimekoğlu,Ertuğrul (Bilecik),2
Ahmet Mahir Efendi,Kastamonu,2
Ahmet Muhtar Cilli,Trabzon,2
Ahmet Muhtar Mollaoğlu,İstanbul,2
Ahmet Münir Akkaya,İzmir,2
Ahmet Ragıp Özdemiroğlu,Zonguldak,2
Ahmet Saki Derin,Antalya,2
Ahmet Şükrü Bey,Kocaeli,2
Ahmet Şükrü Kulualp,Dersim (Tunceli),2
Ahmet Süreyya Örgeevren,Karesi (Balıkesir),2
Ahmet Talat Onay,Kangırı (Çankırı),2
Ahmet Zeki Karakimseliler,Kayseri,2
Ahmet Ziya Tonguç,Çorum,2
Ali Cenani,Gaziantep,2
Ali Çetinkaya,Afyonkarahisar,2
Ali Fethi Okyar,İstanbul,2
Ali Fuat Bucak,Urfa,2
Ali Fuat Cebesoy,Ankara,2
Ali Galip Yenen,Niğde,2
Ali Haydar Bey,Genç,2
Ali Haydar Öktem,Denizli,2
Ali Haydar Yuluğ,İstanbul,2
Ali Hikmet Ayerdem,Bursa,2
Ali Kılıç,Gaziantep,2
Ali Kütükçüoğlu,Ankara,2
Ali Nazmi Özügür,Kastamonu,2
Ali Rıza Bebek,İstanbul,2
Ali Rıza Benli,Kırşehir,2
Ali Rıza Bey,Kastamonu,2
Ali Rıza Erten,Mardin,2
Ali Rıza Özdarende,Amasya,2
Ali Şadi Çelik,Kozan,2
Ali Saip Ursavaş,Kozan,2
Ali Şefik Başman,Trabzon,2
Ali Şevket Çolak,Giresun,2
Ali Sururi Tönük,Karahisar-ı Şarki (Şebinkarahisar),2
Ali Ulvi Bayrakdar,Eskişehir,2
Ali Zırh,Rize,2
Asaf Süleyman Doras,Hakkâri,2
Ata Atalay,Niğde,2
Bahri Sarıtepe,Erzurum,2
Behiç Erkin,İstanbul,2
Bekir Sami Kunduh,Tokat,2
Binbaşızade Rıza Bey,Karahisar-ı Şarki (Şebinkarahisar),2
Cafer Tayyar Eğilmez,Edirne,2
Cavit Ekin,Diyarbekir,2
Cavit Paşa,Canik (Samsun),2
Celâl Bayar,İzmir,2
Celal Nuri İleri,Gelibolu,2
Cemal Hüsnü Taray,Gümüşhane,2
Cemil Uybadın,Tekirdağ,2
Cevat Abbas Gürer,Bolu,2
Cevat Çobanlı,Elaziz (Elazığ),2
Cevdet Barlas,Kütahya,2
Cudi Paşa,Siverek,2
Damar Arıkoğlu,Adana,2
Derviş Ural,Mardin,2
Ebubekir Hâzım Tepeyran,Niğde,2
Edip Servet Tör,İstanbul,2
Ekrem Rize,Rize,2
Emin Cemal Suda,Bolu,2
Emin Sazak,Eskişehir,2
Esat Özoğuz,Rize,2
Ethem Büke,Saruhan (Manisa),2
Eyüp Sabri Hayırlıoğlu,Konya,2
Fahrettin Altay,İzmir,2
Faik Kaltakkıran,Edirne,2
Faik Öztrak,Tekirdağ,2
Falih Rıfkı Atay,Bolu,2
Feridun Fikri Düşünsel,Dersim (Tunceli),2
Fevzi Çakmak,İstanbul,2
Feyzi Pirinççioğlu,Diyarbekir,2
Fikret Onuralp,Ertuğrul (Bilecik),2
Fuat Ağralı,İstanbul,2
Fuat Gökbudak,Konya,2
Fuat Umay,Kırklareli,2
Hacı Bedir Fırat,Malatya,2
Hacı Bekir Sümer,Konya,2
Hacim Muhittin Çarıklı,Giresun,2
Hafız Emin İnankur,İçel (Silifke),2
Hafız İbrahim Demiralay,Isparta,2
Hafız Mehmet Şahin,Gaziantep,2
Hakkı Tarık Us,Giresun,2
Hakkı Ungan,Van,2
Halet Sağıroğlu,Erzurum,2
Halil Fahri Gürmen,Siverek,2
Halil Hulki Ayrım,Siirt,2
Halil İbrahim Nakıpoğlu,Konya,2
Halil Işık,Ertuğrul (Bilecik),2
Halil Sıtkı Kumru,Ordu,2
Halil Türkmen,Zonguldak,2
Halit Akmansü,Kastamonu,2
Halit Karsıalan,Ardahan,2
Halit Mazhar Karakaya,Kayseri,2
Halit Mengi,Niğde,2
Hamdi Aksoy,İzmir,2
Hamdullah Suphi Tanrıöver,İstanbul,2
Hasan Cavit Belül,Rize,2
Hasan Fehmi Ataç,Gümüşhane,2
Hasan Fehmi Tümerkan,Kastamonu,2
Hasan Pırıltı,Antalya,2
Hasan Refet Canıtez,Bursa,2
Hasan Saka,Trabzon,2
Hasan Tahsin San,Aydın,2
Hasan Tahsin Uzer,Ardahan,2
Haydar Adil Müsteçaplıoğlu,Karesi (Balıkesir),2
Hilmi Gür,Artvin,2
Hilmi Oytaç,Malatya,2
Hüseyin Avni Zaimler,Cebel-i Bereket (Osmaniye),2
Hüseyin Çelikbaş,Burdur,2
Hüseyin Ferit Törümküney,Çorum,2
Hüseyin Gökçelik,Elaziz (Elazığ),2
Hüseyin Hüsnü Özdamar,Isparta,2
Hüseyin Rauf Orbay,İstanbul,2
Hüseyin Rıfkı Bey,Edirne,2
Hüseyin Vasıf Çınar,Saruhan (Manisa),2
Hüsrev Gerede,Urfa,2
İbrahim Arvas,Van,2
İbrahim Çolak,Ertuğrul (Bilecik),2
İbrahim Hakkı Tolon,Kocaeli,2
İbrahim Süreyya Yiğit,Kocaeli,2
İbrahim Talî Öngören,Diyarbekir,2
İhsan Eryavuz,Cebel-i Bereket (Osmaniye),2
İhsan Hamit Tiğrel,Ergani,2
İhsan Pehlivanlı,Ankara,2
İhsan Sağlam,Ergani,2
İhsan Sökmen,İstanbul,2
İlyas Sami Muş,Muş,2
İsmail Çamaş,Ordu,2
İsmail Canbulat,İstanbul,2
İsmail Hakkı Erel,İstanbul,2
İsmail Kemal Alpsar,Çorum,2
İsmail Sabuncu,Karahisar-ı Şarki (Şebinkarahisar),2
İsmail Safa Özler,Adana,2
İsmet Eker,Çorum,2
İsmet İnönü,Malatya,2
İzzet Ulvi Aykurt,Afyonkarahisar,2
İzzettin Çalışlar,Aydın,2
Kamil Baştopçu,Tokat,2
Kamil Miras,Afyonkarahisar,2
Kâzim Bey ,Ergani,2
Kâzım Karabekir,İstanbul,2
Kâzım Özalp,Karesi (Balıkesir),2
Kazım Samanlı,Denizli,2
Kemal Gürol,Saruhan (Manisa),2
Kemalettin Sami Gökçen,Sinop,2
Lütfi Müfit Özdeş,Kırşehir,2
Mahbub Erdoğru,Kırşehir,2
Mahmut Esat Bozkurt,İzmir,2
Mahmut Faik Soylu,Kütahya,2
Mahmut Murat Şerefli,Antalya,2
Mahmut Nedim Soydan,Siirt,2
Mahmut Nedim Zabcı,Malatya,2
Mahmut Odabaşı,Siverek,2
Mazhar Germen,Aydın,2
Mazhar Müfit Kansu,Denizli,2
Mehmed Refik Kakmacı,Kırşehir,2
Mehmet Arif Bey,Eskişehir,2
Mehmet Avni Doğan,Bozok (Yozgat),2
Mehmet Cazım Duru,Erzurum,2
Mehmet Dinç,Biga,2
Mehmet Emin Bayav,Tokat,2
Mehmet Emin Yurdakul,Karahisar-ı Şarki (Şebinkarahisar),2
Mehmet Emir,Karesi (Balıkesir),2
Mehmet Erten,Maraş,2
Mehmet Esat İleri,Menteşe (Muğla),2
Mehmet Halis Tarıkahya,Sivas,2
Mehmet Hamdi Arpağ,Erzincan,2
Mehmet Kusun,Adana,2
Mehmet Mithat Alan,Maraş,2
Mehmet Mühto,Kastamonu,2
Mehmet Münir Çağıl,Çorum,2
Mehmet Naci Karaali,Elaziz (Elazığ),2
Mehmet Nafiz Aktin,Amasya,2
Mehmet Nafiz Dumlu,Saruhan (Manisa),2
Mehmet Naim Onat,Konya,2
Mehmet Nazmi Dilaveroğlu,Hakkâri,2
Mehmet Necip Güven,Mardin,2
